75449,LMFM Radio
75352,Local Authority News
81500,Local Authority Times
75383,Longford Leader
75384,Longford News
68989,Magill
75322,Mandate News
84120,Marine Times
69098,Marketing
82474,Maternity & Infant
82545,Mayo Advertiser
75389,Mayo News
69121,Meath Chronicle
81176,Meath Weekender
75346,Medico-Legal Journal of Ireland
73693,Metro Ireland
75444,Mid West Radio FM
75392,Midland Tribune
75450,Midlands 103
75150,MII Quarterly
69106,MIMS Ireland
69198,Modern Medicine of Ireland
83715,Moncrieff
83717,Morning Ireland
81800,Munster Interiors
75366,Nationalist (Carlow)
83718,Nationwide
75399,Nenagh Guardian
77187,New Music News
81785,New Ross Standard
73518,News of the World - Dublin
80653,Newstalk 106
81178,North County Leader
69213,Northside People (East)
69214,Northside People (West)
83719,Nuacht
81430,Obair
81949,Outsider
82630,PA News - Dublin
69092,PC Live!
77505,Phantom 105.2
84290,Pharmacy In Focus
75437,Pioneer
75423,Poetry Ireland Review
82208,Pregnancy & Parenting Magazine
75169,Primary Times (Belfast & Co. Antrim & Co. Down)
83720,Prime Time
75580,Provincial Farmer
75350,Public Sector Times
75351,Public Service Review
77461,Q 102
75458,Radio Kerry
75448,Radio Kilkenny
75441,Raidio Na Gaeltachta
83721,Ray D'Arcy Show
69143,Reality
75149,RedFM
81832,Risk Manager
75394,Roscommon Champion
75395,Roscommon Herald
82355,RSVP
84135,RSVP Business
84136,RSVP Home
84137,RSVP Man
84138,RSVP VOWS
75442,RTÉ  Lyric FM
75440,RTÉ 2fm
75439,RTÉ Radio 1
75438,RTE
75455,RTE Cork
75413,RTE Guide
69077,Running Your Business
73481,Salon Ireland Magazine
84292,Scottish Pharmacist
75418,Scouting Ireland
75433,Search
69108,Security World
81912,Select Interiors
75463,Shannonside Northern Sound
75856,Sharewatch.com
73120,ShelfLife
81723,SiliconRepublic.com
77497,Skerries News
75396,Sligo Champion
82206,Sligo Post
75397,Sligo Weekender
82329,Smart Company
75412,Social & Personal
81776,Social & Personal (Living)
81775,Social & Personal (Weddings)
75452,South East Radio
75369,Southern Star
69118,Southside People
69134,Sportsworld
77465,St Ita's Hospital Radio
75320,Stubbs Gazette
75362,Sunday Independent
75364,Sunday World
75254,Techinvest
75326,Technology Ireland
82105,TeeBox Ireland
75367,The Anglo-Celt
75385,The Argus
75606,The Business of E-mail
75368,The Clare Champion
81235,The Cork Independent
81236,The Corkman
81149,The Dubliner
75408,The Echo
81374,The Echo (West Edition)
69089,The Engineers Journal
77466,The Event Guide
69141,The Furrow
83722,The Gerry Ryan Show
81655,The Gloss Magazine
83725,The Ian Dempsey Breakfast Show
77423,The Inish Times
75435,The Irish Catholic
69111,The Irish Examiner
69114,The Irish Examiner - Dublin
69132,The Irish Garden
69145,The Irish Globe
75338,The Irish Journal of Education
75343,The Irish Medical Journal
75333,The Irish Pharmacy Journal
73569,The Irish Sun
69112,The Irish Times
75348,The Journal of the Irish Dental Association
75375,The Kerryman
77491,The Kingdom
83726,The Last Word
83716,The Marian Finucane Show
75403,The Munster Express
75398,The Nationalist & Munster Advertiser
75391,The Northern Standard
69126,The Phoenix
69078,The Property Valuer
83727,The Right Hook
69144,The Sacred Heart Messenger
75429,The Sporting Press
75361,The Sunday Business Post
69113,The Sunday Times - Dublin
75363,The Sunday Tribune
83728,The Tubridy Show
75420,The University Record
75347,The World of Irish Nursing
82631,Thomson Reuters - Dublin
73517,Time 4 U
75460,Tipp FM
75461,Tipperary Mid West Radio
75400,Tipperary Star
83724,Today with Pat Kenny
75330,Todays Grocery Magazine
75629,Total Rugby
81148,Totally Dublin
77471,Travel Extra
75373,Tuam Herald
75393,Tullamore Tribune
75414,TV Now
75579,TV3
69123,U Magazine
70132,Ulster Architect
75426,Visitor
80884,Walking Matters
69131,Walking World Ireland
75404,Waterford News & Star
75599,Waterford Today
69115,Weekend Examiner
75390,Western People
75405,Westmeath Examiner
75406,Westmeath Independent
75407,Westmeath Topic Group
77502,Whazon (Cork)
75409,Wicklow People Series
75410,Wicklow Times Series
75451,WLR FM
69124,Woman's Way
83723,World Report
81172, Business and Finance (Ireland)                                                        
